External_Id__c,Name,SBQQ__Action__r.External_Id__c,SBQQ__DisplayOrder__c,SBQQ__FilterSourceField__c,SBQQ__FilterSourceObject__c,SBQQ__FilterValue__c,SBQQ__HiddenSourceField__c,SBQQ__HiddenSourceObject__c,SBQQ__Hidden__c,SBQQ__Operator__c,SBQQ__TargetField__c,SBQQ__TargetObject__c
EX-20230503.06,1x,EX-20230502.01,30,,,ACC,,,true,equals,QLE_Button__c,Product
EX-20230412.05,BB Fullfill,EX-20230412.02,10,,,BB,,,true,equals,QLE_Button__c,Product
,D/A,EX-20230522.01,30,,,D/A,,,true,equals,QLE_Button__c,Product
EX-20230412.01,DCC,EX-20230412.01,10,,,DCC,,,true,equals,QLE_Button__c,Product
EX-20230412.02,Hide Zones,EX-20230412.01,100,,,false,,,true,equals,Is_Component_Dynamic__c,Product
EX-0000002,Hide Zones,EX-0000003,100,,,false,,,true,equals,Is_Component_Dynamic__c,Product
,IMS,EX-20230525.01,85,,,IMS,,,true,equals,QLE_Button__c,Product
EX-20230412.33,Other,EX-20230412.18,10,,,Other,,,true,equals,QLE_Button__c,Product
EX-0000006,Product Family,EX-0000003,20,,,,,,false,equals,Product Family,Product
EX-0000009,Product Line,EX-0000003,30,,,,,,false,equals,Product_Line__c,Product
,Product Line,EX-20230412.10,10,,,Print,,,true,equals,QLE_Button__c,Product
EX-20230503.02,Zone,EX-20230502.01,10,,,false,,,true,equals,Is_Component_Dynamic__c,Product
