Id,Name,Product_Details__c
01tDo000000UaHKIA0,Blue Book Enhanced Package,
01tDo000000UZOqIAO,The Blue Book Business Builder - Gold Zone - West,
01tDo000000UZSRIA4,The Blue Book - Alpha Listing,
01tDo000000UZWhIAO,The Blue Book - BidScope DDA,
01tDo000000UZLhIAO,The Blue Book Business Builder - BidScope Plus,
01tDo000000UZJkIAO,The Blue Book Business Builder - Bronze Position,
01tDo000000UZYPIA4,The Blue Book Business Builder - Bronze Zone - Custom,
01tDo000000UZMKIA4,The Blue Book Business Builder - Bronze Zone - National,
01tDo000000UZWiIAO,The Blue Book Business Builder - Bronze Zone - North Central,
01tDo000000UZQMIA4,The Blue Book Business Builder - Bronze Zone - Northeast,
01tDo000000UZHYIA4,The Blue Book Business Builder - Bronze Zone - South Central,
01tDo000000UZHUIA4,The Blue Book Business Builder - Bronze Zone - Southeast,
01tDo000000UZX0IAO,The Blue Book Business Builder - Bronze Zone - West,
01tDo000000UZYRIA4,The Blue Book Business Builder - Gold Position,
01tDo000000UZNkIAO,The Blue Book Business Builder - Gold Zone - Custom,
01tDo000000UZUeIAO,The Blue Book Business Builder - Gold Zone - National,
01tDo000000UZPiIAO,The Blue Book Business Builder - Gold Zone - North Central,
01tDo000000UZFSIA4,The Blue Book Business Builder - Gold Zone - Northeast,
01tDo000000UZXKIA4,The Blue Book Business Builder - Gold Zone - South Central,
01tDo000000UZNjIAO,The Blue Book Business Builder - Gold Zone - Southeast,
01tDo000000UZJlIAO,The Blue Book - Super Alpha,
01tDo000000UZSNIA4,The Blue Book Business Builder - Platinum Position,
01tDo000000UZGaIAO,The Blue Book Business Builder - Platinum Zone - Custom,
01tDo000000UZUdIAO,The Blue Book Business Builder - Platinum Zone - National,
01tDo000000UZNHIA4,The Blue Book Business Builder - Platinum Zone - North Central,
01tDo000000UZIHIA4,The Blue Book Business Builder - Platinum Zone - Northeast,
01tDo000000UZM0IAO,The Blue Book Business Builder - Platinum Zone - South Central,
01tDo000000UZWQIA4,The Blue Book Business Builder - Platinum Zone - Southeast,
01tDo000000UZU4IAO,The Blue Book Business Builder - Platinum Zone - West,
01tDo000000UZQHIA4,The Blue Book Business Builder - Silver Position,
01tDo000000UZUrIAO,The Blue Book Business Builder - Silver Zone - Custom,
01tDo000000UZPnIAO,The Blue Book Business Builder - Silver Zone - National,
01tDo000000UZJtIAO,The Blue Book Business Builder - Silver Zone - North Central,
01tDo000000UZSKIA4,The Blue Book Business Builder - Silver Zone - Northeast,
01tDo000000UZJNIA4,The Blue Book Business Builder - Silver Zone - South Central,
01tDo000000UZFRIA4,The Blue Book Business Builder - Silver Zone - Southeast,
01tDo000000UZWnIAO,The Blue Book Business Builder - Silver Zone - West,
01tDo000000UZFgIAO,The Blue Book - Manufacturer Listing,
01tDo000000UZLMIA4,The Blue Book - Premium ProView,
01tDo000000UZLiIAO,The Blue Book - Regional Ad,
01tDo000000UZT2IAO,The Blue Book - Regional BidScope DDA,
01tDo000000UZHZIA4,Blue Book ProView,
