External_id__c,Name,Type,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,Fax,Industry,AnnualRevenue,NumberOfEmployees,Description
EX-0001007,University of Arizona,Customer - Direct,"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States",Tucson,AZ,,,,,,"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States",,,,,,,,(520) 773-9050,(520) 773-9060,Education,,39000,"Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine."
EX-0001008,"United Oil & Gas, UK",Customer - Direct,"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom",,UK,,,,,,"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom",,,,,,,,+44 191 4956203,+44 191 4956620,Energy,,24000,
EX-0001009,"United Oil & Gas, Singapore",Customer - Direct,"9 Tagore Lane
Singapore, Singapore 787472
Singapore",Singapore,Singapore,,,,,,"9 Tagore Lane
Singapore, Singapore 787472
Singapore",,,,,,,,(650) 450-8810,(650) 450-8820,Energy,,3000,
EX-0001005,United Oil & Gas Corp.,Customer - Direct,"1301 Avenue of the Americas 
New York, NY 10019
USA",New York,NY,,,,,,"1301 Avenue of the Americas 
New York, NY 10019
USA",,,,,,,,(212) 842-5500,(212) 842-5501,Energy,5600000000,145000,World's third largest oil and gas company.
EX-0001011,sForce,,The Landmark @ One Market,San Francisco,CA,94087,US,,,,,,,,,,,,(415) 901-7000,(415) 901-7002,,,,
EX-0001012,Sample Account for Entitlements,,,,,,,,,,,,,,,,,,,,,,,
EX-0001002,Pyramid Construction Inc.,Customer - Channel,2 Place Jussieu,Paris,,75251,France,,,,2 Place Jussieu,Paris,,75251,France,,,,(014) 427-4427,(014) 427-4428,Construction,950000000,2680,
EX-0001004,Grand Hotels & Resorts Ltd,Customer - Direct,"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA",Chicago,IL,,,,,,"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA",,,,,,,,(312) 596-1000,(312) 596-1500,Hospitality,500000000,5600,"Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia."
EX-0001010,GenePoint,Customer - Channel,"345 Shoreline Park
Mountain View, CA 94043
USA",Mountain View,CA,,,,,,"345 Shoreline Park
Mountain View, CA 94043
USA",,,,,,,,(650) 867-3450,(650) 867-9895,Biotechnology,30000000,265,Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs
EX-0001006,Express Logistics and Transport,Customer - Channel,"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States",Portland,OR,,,,,,"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States",,,,,,,,(503) 421-7800,(503) 421-7801,Transportation,950000000,12300,Commerical logistics and transportation company.
EX-0001000,Edge Communications,Customer - Direct,"312 Constitution Place
Austin, TX 78767
USA",Austin,TX,,,,,,"312 Constitution Place
Austin, TX 78767
USA",,,,,,,,(512) 757-6000,(512) 757-9000,Electronics,139000000,1000,"Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website."
EX-0001003,Dickenson plc,Customer - Channel,1301 Hoch Drive,Lawrence,KS,66045,USA,,,,1301 Hoch Drive,Lawrence,KS,66045,USA,,,,(785) 241-6200,(785) 241-6201,Consulting,50000000,120,
EX-0001001,Burlington Textiles Corp of America,Customer - Direct,525 S. Lexington Ave,Burlington,NC,27215,USA,,,,,,,,,,,,(336) 222-7000,(336) 222-8000,Apparel,350000000,9000,
